optimizer,seed,start_point,initial_x,initial_y,final_x,final_y,final_loss,final_grad_norm,iterations,converged,converged_iteration,run_status,error
SGD_Momentum,789,8,-1.0,-1.0,0.6585903167724609,0.378669410943985,0.3108105957508087,0.6898281574249268,20000,False,,max_iters_or_stalled,
SGD_Momentum,789,9,0.5,-0.5,0.966799259185791,0.9027968645095825,0.13423816859722137,1.2489005327224731,20000,False,,max_iters_or_stalled,
Adam,1011,0,-1.5,2.0,1.006908655166626,0.9969248175621033,3.7463755688804667e-06,0.0642925500869751,328,True,327.0,converged,
Adam,1011,1,1.5,-2.0,1.0039172172546387,1.0033038854599,8.86163252289407e-05,0.4211278557777405,238,True,237.0,converged,
Adam,1011,2,0.5,0.5,0.9931886196136475,0.9980179667472839,0.015473945997655392,1.337600588798523,20000,False,,max_iters_or_stalled,
Adam,1011,3,-0.5,-0.5,0.998576283454895,0.9846612215042114,6.38204364804551e-05,0.24776093661785126,449,True,448.0,converged,
Adam,1011,4,2.0,-1.0,0.9941033124923706,0.9806904196739197,8.167057239916176e-05,0.12504485249519348,2842,True,2841.0,converged,
Adam,1011,5,-2.0,1.0,0.9953253269195557,0.9787710905075073,7.800068124197423e-05,0.05874805524945259,361,True,360.0,converged,
Adam,1011,6,0.0,0.0,0.9910435676574707,0.986861526966095,6.162800127640367e-05,0.1057087704539299,17725,True,17724.0,converged,
Adam,1011,7,1.0,1.0,1.0,1.0,0.0,0.0,1,True,0.0,converged,
Adam,1011,8,-1.0,-1.0,0.9825416803359985,0.9808651804924011,0.006157862488180399,1.3189667463302612,20000,False,,max_iters_or_stalled,
Adam,1011,9,0.5,-0.5,0.9943503737449646,0.9816100001335144,6.70250883558765e-05,0.009011841379106045,317,True,316.0,converged,
SAM_Adam,1011,0,-1.5,2.0,0.9083508849143982,0.8234812021255493,0.008722423575818539,1.160461664199829,20000,False,,max_iters_or_stalled,
SAM_Adam,1011,1,1.5,-2.0,0.9162827134132385,0.8358484506607056,0.011822768487036228,1.1812331676483154,20000,False,,max_iters_or_stalled,
SAM_Adam,1011,2,0.5,0.5,0.9023497700691223,0.8262683153152466,0.034497011452913284,1.1661769151687622,20000,False,,max_iters_or_stalled,
SAM_Adam,1011,3,-0.5,-0.5,0.913338303565979,0.8405086994171143,0.017284002155065536,1.1823948621749878,20000,False,,max_iters_or_stalled,
SAM_Adam,1011,4,2.0,-1.0,0.8925279378890991,0.8157507181167603,0.1292017698287964,1.1455351114273071,20000,False,,max_iters_or_stalled,
SAM_Adam,1011,5,-2.0,1.0,0.9048567414283752,0.8153533339500427,0.024545788764953613,1.160339117050171,20000,False,,max_iters_or_stalled,
SAM_Adam,1011,6,0.0,0.0,0.8866660594940186,0.8420371413230896,0.27884307503700256,1.1590718030929565,20000,False,,max_iters_or_stalled,
SAM_Adam,1011,7,1.0,1.0,1.0,1.0,0.0,0.0,1,True,0.0,converged,
SAM_Adam,1011,8,-1.0,-1.0,0.9103296399116516,0.8073340654373169,0.009524887427687645,1.1499383449554443,20000,False,,max_iters_or_stalled,
SAM_Adam,1011,9,0.5,-0.5,0.9088283181190491,0.8238122463226318,0.09727723896503448,1.1693559885025024,20000,False,,max_iters_or_stalled,
SAM_SGD,1011,0,-1.5,2.0,0.7854585647583008,0.5824809670448303,0.3039582371711731,0.9121391177177429,20000,False,,max_iters_or_stalled,
SAM_SGD,1011,1,1.5,-2.0,0.7379505634307861,0.6250086426734924,0.05171332508325577,0.9329124093055725,20000,False,,max_iters_or_stalled,
SAM_SGD,1011,2,0.5,0.5,0.7365749478340149,0.6136111617088318,0.06731434911489487,0.9269845485687256,20000,False,,max_iters_or_stalled,
SAM_SGD,1011,3,-0.5,-0.5,0.7602950930595398,0.6456776857376099,0.0873548686504364,0.9652507901191711,20000,False,,max_iters_or_stalled,
SAM_SGD,1011,4,2.0,-1.0,0.7483731508255005,0.6199875473976135,0.11416757851839066,0.9407949447631836,20000,False,,max_iters_or_stalled,
SAM_SGD,1011,5,-2.0,1.0,0.7723298072814941,0.5908649563789368,0.655799388885498,0.9083503484725952,20000,False,,max_iters_or_stalled,
SAM_SGD,1011,6,0.0,0.0,0.7874526977539062,0.583259105682373,0.2834111154079437,0.913970410823822,20000,False,,max_iters_or_stalled,
SAM_SGD,1011,7,1.0,1.0,1.0,1.0,0.0,0.0,1,True,0.0,converged,
SAM_SGD,1011,8,-1.0,-1.0,0.8077174425125122,0.5910187363624573,0.1193513497710228,0.9324119687080383,20000,False,,max_iters_or_stalled,
SAM_SGD,1011,9,0.5,-0.5,0.7916858792304993,0.5869160890579224,0.26087185740470886,0.9190785884857178,20000,False,,max_iters_or_stalled,
SGD,1011,0,-1.5,2.0,0.86902916431427,0.8636298179626465,0.022134898230433464,1.1804403066635132,20000,False,,max_iters_or_stalled,
SGD,1011,1,1.5,-2.0,0.8740349411964417,0.8494855165481567,0.1313064843416214,1.1755859851837158,20000,False,,max_iters_or_stalled,
SGD,1011,2,0.5,0.5,0.8621885776519775,0.8573310375213623,0.010314838960766792,1.1697648763656616,20000,False,,max_iters_or_stalled,
SGD,1011,3,-0.5,-0.5,0.9270709156990051,0.8293924331665039,0.8264845609664917,1.1651939153671265,20000,False,,max_iters_or_stalled,
SGD,1011,4,2.0,-1.0,0.8657723665237427,0.8466327786445618,0.05633147433400154,1.167372465133667,20000,False,,max_iters_or_stalled,
SGD,1011,5,-2.0,1.0,0.9196271896362305,0.817736029624939,0.8297846913337708,1.1527286767959595,20000,False,,max_iters_or_stalled,
SGD,1011,6,0.0,0.0,0.9199706315994263,0.8294756412506104,1.0593403577804565,1.160686731338501,20000,False,,max_iters_or_stalled,
SGD,1011,7,1.0,1.0,1.0,1.0,0.0,0.0,1,True,0.0,converged,
SGD,1011,8,-1.0,-1.0,0.8664093017578125,0.8655033707618713,0.010028282180428505,1.1785527467727661,20000,False,,max_iters_or_stalled,
SGD,1011,9,0.5,-0.5,0.8756839632987976,0.8544747829437256,0.12084688991308212,1.1800178289413452,20000,False,,max_iters_or_stalled,
SGD_Momentum,1011,0,-1.5,2.0,0.5935505032539368,0.4955698251724243,0.6433355808258057,0.7976635694503784,20000,False,,max_iters_or_stalled,
SGD_Momentum,1011,1,1.5,-2.0,1.0197463035583496,0.9703112840652466,7.090969302225858e-05,0.03293002024292946,5715,True,5714.0,converged,
SGD_Momentum,1011,2,0.5,0.5,1.0190277099609375,0.9927362203598022,2.017696351686027e-05,0.1938599795103073,14542,True,14541.0,converged,
SGD_Momentum,1011,3,-0.5,-0.5,0.7713606953620911,0.4650340974330902,1.0817513465881348,0.8421023488044739,20000,False,,max_iters_or_stalled,
SGD_Momentum,1011,4,2.0,-1.0,0.6141996383666992,0.38897770643234253,0.5307701826095581,0.671432614326477,20000,False,,max_iters_or_stalled,
SGD_Momentum,1011,5,-2.0,1.0,1.0124337673187256,0.9735626578330994,8.017530490178615e-05,0.13061709702014923,648,True,647.0,converged,
SGD_Momentum,1011,6,0.0,0.0,0.6581769585609436,0.4000172019004822,0.7878424525260925,0.7230434417724609,20000,False,,max_iters_or_stalled,
SGD_Momentum,1011,7,1.0,1.0,1.0,1.0,0.0,0.0,1,True,0.0,converged,
SGD_Momentum,1011,8,-1.0,-1.0,0.6585903167724609,0.378669410943985,0.3108105957508087,0.6898281574249268,20000,False,,max_iters_or_stalled,
SGD_Momentum,1011,9,0.5,-0.5,0.966799259185791,0.9027968645095825,0.13423816859722137,1.2489005327224731,20000,False,,max_iters_or_stalled,
Adam,1213,0,-1.5,2.0,1.006908655166626,0.9969248175621033,3.7463755688804667e-06,0.0642925500869751,328,True,327.0,converged,
Adam,1213,1,1.5,-2.0,1.0039172172546387,1.0033038854599,8.86163252289407e-05,0.4211278557777405,238,True,237.0,converged,
Adam,1213,2,0.5,0.5,0.9931886196136475,0.9980179667472839,0.015473945997655392,1.337600588798523,20000,False,,max_iters_or_stalled,
Adam,1213,3,-0.5,-0.5,0.998576283454895,0.9846612215042114,6.38204364804551e-05,0.24776093661785126,449,True,448.0,converged,
Adam,1213,4,2.0,-1.0,0.9941033124923706,0.9806904196739197,8.167057239916176e-05,0.12504485249519348,2842,True,2841.0,converged,
Adam,1213,5,-2.0,1.0,0.9953253269195557,0.9787710905075073,7.800068124197423e-05,0.05874805524945259,361,True,360.0,converged,
Adam,1213,6,0.0,0.0,0.9910435676574707,0.986861526966095,6.162800127640367e-05,0.1057087704539299,17725,True,17724.0,converged,
Adam,1213,7,1.0,1.0,1.0,1.0,0.0,0.0,1,True,0.0,converged,
Adam,1213,8,-1.0,-1.0,0.9825416803359985,0.9808651804924011,0.006157862488180399,1.3189667463302612,20000,False,,max_iters_or_stalled,
Adam,1213,9,0.5,-0.5,0.9943503737449646,0.9816100001335144,6.70250883558765e-05,0.009011841379106045,317,True,316.0,converged,
SAM_Adam,1213,0,-1.5,2.0,0.9083508849143982,0.8234812021255493,0.008722423575818539,1.160461664199829,20000,False,,max_iters_or_stalled,
SAM_Adam,1213,1,1.5,-2.0,0.9162827134132385,0.8358484506607056,0.011822768487036228,1.1812331676483154,20000,False,,max_iters_or_stalled,
SAM_Adam,1213,2,0.5,0.5,0.9023497700691223,0.8262683153152466,0.034497011452913284,1.1661769151687622,20000,False,,max_iters_or_stalled,
SAM_Adam,1213,3,-0.5,-0.5,0.913338303565979,0.8405086994171143,0.017284002155065536,1.1823948621749878,20000,False,,max_iters_or_stalled,
SAM_Adam,1213,4,2.0,-1.0,0.8925279378890991,0.8157507181167603,0.1292017698287964,1.1455351114273071,20000,False,,max_iters_or_stalled,
SAM_Adam,1213,5,-2.0,1.0,0.9048567414283752,0.8153533339500427,0.024545788764953613,1.160339117050171,20000,False,,max_iters_or_stalled,
SAM_Adam,1213,6,0.0,0.0,0.8866660594940186,0.8420371413230896,0.27884307503700256,1.1590718030929565,20000,False,,max_iters_or_stalled,
SAM_Adam,1213,7,1.0,1.0,1.0,1.0,0.0,0.0,1,True,0.0,converged,
SAM_Adam,1213,8,-1.0,-1.0,0.9103296399116516,0.8073340654373169,0.009524887427687645,1.1499383449554443,20000,False,,max_iters_or_stalled,
SAM_Adam,1213,9,0.5,-0.5,0.9088283181190491,0.8238122463226318,0.09727723896503448,1.1693559885025024,20000,False,,max_iters_or_stalled,
SAM_SGD,1213,0,-1.5,2.0,0.7854585647583008,0.5824809670448303,0.3039582371711731,0.9121391177177429,20000,False,,max_iters_or_stalled,
SAM_SGD,1213,1,1.5,-2.0,0.7379505634307861,0.6250086426734924,0.05171332508325577,0.9329124093055725,20000,False,,max_iters_or_stalled,
SAM_SGD,1213,2,0.5,0.5,0.7365749478340149,0.6136111617088318,0.06731434911489487,0.9269845485687256,20000,False,,max_iters_or_stalled,
SAM_SGD,1213,3,-0.5,-0.5,0.7602950930595398,0.6456776857376099,0.0873548686504364,0.9652507901191711,20000,False,,max_iters_or_stalled,
SAM_SGD,1213,4,2.0,-1.0,0.7483731508255005,0.6199875473976135,0.11416757851839066,0.9407949447631836,20000,False,,max_iters_or_stalled,
SAM_SGD,1213,5,-2.0,1.0,0.7723298072814941,0.5908649563789368,0.655799388885498,0.9083503484725952,20000,False,,max_iters_or_stalled,
SAM_SGD,1213,6,0.0,0.0,0.7874526977539062,0.583259105682373,0.2834111154079437,0.913970410823822,20000,False,,max_iters_or_stalled,
SAM_SGD,1213,7,1.0,1.0,1.0,1.0,0.0,0.0,1,True,0.0,converged,
SAM_SGD,1213,8,-1.0,-1.0,0.8077174425125122,0.5910187363624573,0.1193513497710228,0.9324119687080383,20000,False,,max_iters_or_stalled,
SAM_SGD,1213,9,0.5,-0.5,0.7916858792304993,0.5869160890579224,0.26087185740470886,0.9190785884857178,20000,False,,max_iters_or_stalled,
SGD,1213,0,-1.5,2.0,0.86902916431427,0.8636298179626465,0.022134898230433464,1.1804403066635132,20000,False,,max_iters_or_stalled,
SGD,1213,1,1.5,-2.0,0.8740349411964417,0.8494855165481567,0.1313064843416214,1.1755859851837158,20000,False,,max_iters_or_stalled,
SGD,1213,2,0.5,0.5,0.8621885776519775,0.8573310375213623,0.010314838960766792,1.1697648763656616,20000,False,,max_iters_or_stalled,
SGD,1213,3,-0.5,-0.5,0.9270709156990051,0.8293924331665039,0.8264845609664917,1.1651939153671265,20000,False,,max_iters_or_stalled,
SGD,1213,4,2.0,-1.0,0.8657723665237427,0.8466327786445618,0.05633147433400154,1.167372465133667,20000,False,,max_iters_or_stalled,
SGD,1213,5,-2.0,1.0,0.9196271896362305,0.817736029624939,0.8297846913337708,1.1527286767959595,20000,False,,max_iters_or_stalled,
SGD,1213,6,0.0,0.0,0.9199706315994263,0.8294756412506104,1.0593403577804565,1.160686731338501,20000,False,,max_iters_or_stalled,
SGD,1213,7,1.0,1.0,1.0,1.0,0.0,0.0,1,True,0.0,converged,
SGD,1213,8,-1.0,-1.0,0.8664093017578125,0.8655033707618713,0.010028282180428505,1.1785527467727661,20000,False,,max_iters_or_stalled,
SGD,1213,9,0.5,-0.5,0.8756839632987976,0.8544747829437256,0.12084688991308212,1.1800178289413452,20000,False,,max_iters_or_stalled,
SGD_Momentum,1213,0,-1.5,2.0,0.5935505032539368,0.4955698251724243,0.6433355808258057,0.7976635694503784,20000,False,,max_iters_or_stalled,
SGD_Momentum,1213,1,1.5,-2.0,1.0197463035583496,0.9703112840652466,7.090969302225858e-05,0.03293002024292946,5715,True,5714.0,converged,
SGD_Momentum,1213,2,0.5,0.5,1.0190277099609375,0.9927362203598022,2.017696351686027e-05,0.1938599795103073,14542,True,14541.0,converged,
SGD_Momentum,1213,3,-0.5,-0.5,0.7713606953620911,0.4650340974330902,1.0817513465881348,0.8421023488044739,20000,False,,max_iters_or_stalled,
SGD_Momentum,1213,4,2.0,-1.0,0.6141996383666992,0.38897770643234253,0.5307701826095581,0.671432614326477,20000,False,,max_iters_or_stalled,
SGD_Momentum,1213,5,-2.0,1.0,1.0124337673187256,0.9735626578330994,8.017530490178615e-05,0.13061709702014923,648,True,647.0,converged,
SGD_Momentum,1213,6,0.0,0.0,0.6581769585609436,0.4000172019004822,0.7878424525260925,0.7230434417724609,20000,False,,max_iters_or_stalled,
SGD_Momentum,1213,7,1.0,1.0,1.0,1.0,0.0,0.0,1,True,0.0,converged,
SGD_Momentum,1213,8,-1.0,-1.0,0.6585903167724609,0.378669410943985,0.3108105957508087,0.6898281574249268,20000,False,,max_iters_or_stalled,
SGD_Momentum,1213,9,0.5,-0.5,0.966799259185791,0.9027968645095825,0.13423816859722137,1.2489005327224731,20000,False,,max_iters_or_stalled,
Adam,1415,0,-1.5,2.0,1.006908655166626,0.9969248175621033,3.7463755688804667e-06,0.0642925500869751,328,True,327.0,converged,
Adam,1415,1,1.5,-2.0,1.0039172172546387,1.0033038854599,8.86163252289407e-05,0.4211278557777405,238,True,237.0,converged,
Adam,1415,2,0.5,0.5,0.9931886196136475,0.9980179667472839,0.015473945997655392,1.337600588798523,20000,False,,max_iters_or_stalled,
Adam,1415,3,-0.5,-0.5,0.998576283454895,0.9846612215042114,6.38204364804551e-05,0.24776093661785126,449,True,448.0,converged,
Adam,1415,4,2.0,-1.0,0.9941033124923706,0.9806904196739197,8.167057239916176e-05,0.12504485249519348,2842,True,2841.0,converged,
Adam,1415,5,-2.0,1.0,0.9953253269195557,0.9787710905075073,7.800068124197423e-05,0.05874805524945259,361,True,360.0,converged,
Adam,1415,6,0.0,0.0,0.9910435676574707,0.986861526966095,6.162800127640367e-05,0.1057087704539299,17725,True,17724.0,converged,
Adam,1415,7,1.0,1.0,1.0,1.0,0.0,0.0,1,True,0.0,converged,
Adam,1415,8,-1.0,-1.0,0.9825416803359985,0.9808651804924011,0.006157862488180399,1.3189667463302612,20000,False,,max_iters_or_stalled,
Adam,1415,9,0.5,-0.5,0.9943503737449646,0.9816100001335144,6.70250883558765e-05,0.009011841379106045,317,True,316.0,converged,
SAM_Adam,1415,0,-1.5,2.0,0.9083508849143982,0.8234812021255493,0.008722423575818539,1.160461664199829,20000,False,,max_iters_or_stalled,
SAM_Adam,1415,1,1.5,-2.0,0.9162827134132385,0.8358484506607056,0.011822768487036228,1.1812331676483154,20000,False,,max_iters_or_stalled,
SAM_Adam,1415,2,0.5,0.5,0.9023497700691223,0.8262683153152466,0.034497011452913284,1.1661769151687622,20000,False,,max_iters_or_stalled,
SAM_Adam,1415,3,-0.5,-0.5,0.913338303565979,0.8405086994171143,0.017284002155065536,1.1823948621749878,20000,False,,max_iters_or_stalled,
SAM_Adam,1415,4,2.0,-1.0,0.8925279378890991,0.8157507181167603,0.1292017698287964,1.1455351114273071,20000,False,,max_iters_or_stalled,
SAM_Adam,1415,5,-2.0,1.0,0.9048567414283752,0.8153533339500427,0.024545788764953613,1.160339117050171,20000,False,,max_iters_or_stalled,
SAM_Adam,1415,6,0.0,0.0,0.8866660594940186,0.8420371413230896,0.27884307503700256,1.1590718030929565,20000,False,,max_iters_or_stalled,
SAM_Adam,1415,7,1.0,1.0,1.0,1.0,0.0,0.0,1,True,0.0,converged,
SAM_Adam,1415,8,-1.0,-1.0,0.9103296399116516,0.8073340654373169,0.009524887427687645,1.1499383449554443,20000,False,,max_iters_or_stalled,
SAM_Adam,1415,9,0.5,-0.5,0.9088283181190491,0.8238122463226318,0.09727723896503448,1.1693559885025024,20000,False,,max_iters_or_stalled,
SAM_SGD,1415,0,-1.5,2.0,0.7854585647583008,0.5824809670448303,0.3039582371711731,0.9121391177177429,20000,False,,max_iters_or_stalled,
SAM_SGD,1415,1,1.5,-2.0,0.7379505634307861,0.6250086426734924,0.05171332508325577,0.9329124093055725,20000,False,,max_iters_or_stalled,
SAM_SGD,1415,2,0.5,0.5,0.7365749478340149,0.6136111617088318,0.06731434911489487,0.9269845485687256,20000,False,,max_iters_or_stalled,
SAM_SGD,1415,3,-0.5,-0.5,0.7602950930595398,0.6456776857376099,0.0873548686504364,0.9652507901191711,20000,False,,max_iters_or_stalled,
SAM_SGD,1415,4,2.0,-1.0,0.7483731508255005,0.6199875473976135,0.11416757851839066,0.9407949447631836,20000,False,,max_iters_or_stalled,
SAM_SGD,1415,5,-2.0,1.0,0.7723298072814941,0.5908649563789368,0.655799388885498,0.9083503484725952,20000,False,,max_iters_or_stalled,
SAM_SGD,1415,6,0.0,0.0,0.7874526977539062,0.583259105682373,0.2834111154079437,0.913970410823822,20000,False,,max_iters_or_stalled,
SAM_SGD,1415,7,1.0,1.0,1.0,1.0,0.0,0.0,1,True,0.0,converged,
SAM_SGD,1415,8,-1.0,-1.0,0.8077174425125122,0.5910187363624573,0.1193513497710228,0.9324119687080383,20000,False,,max_iters_or_stalled,
SAM_SGD,1415,9,0.5,-0.5,0.7916858792304993,0.5869160890579224,0.26087185740470886,0.9190785884857178,20000,False,,max_iters_or_stalled,
SGD,1415,0,-1.5,2.0,0.86902916431427,0.8636298179626465,0.022134898230433464,1.1804403066635132,20000,False,,max_iters_or_stalled,
SGD,1415,1,1.5,-2.0,0.8740349411964417,0.8494855165481567,0.1313064843416214,1.1755859851837158,20000,False,,max_iters_or_stalled,
SGD,1415,2,0.5,0.5,0.8621885776519775,0.8573310375213623,0.010314838960766792,1.1697648763656616,20000,False,,max_iters_or_stalled,
SGD,1415,3,-0.5,-0.5,0.9270709156990051,0.8293924331665039,0.8264845609664917,1.1651939153671265,20000,False,,max_iters_or_stalled,
SGD,1415,4,2.0,-1.0,0.8657723665237427,0.8466327786445618,0.05633147433400154,1.167372465133667,20000,False,,max_iters_or_stalled,
SGD,1415,5,-2.0,1.0,0.9196271896362305,0.817736029624939,0.8297846913337708,1.1527286767959595,20000,False,,max_iters_or_stalled,
SGD,1415,6,0.0,0.0,0.9199706315994263,0.8294756412506104,1.0593403577804565,1.160686731338501,20000,False,,max_iters_or_stalled,
SGD,1415,7,1.0,1.0,1.0,1.0,0.0,0.0,1,True,0.0,converged,
SGD,1415,8,-1.0,-1.0,0.8664093017578125,0.8655033707618713,0.010028282180428505,1.1785527467727661,20000,False,,max_iters_or_stalled,
SGD,1415,9,0.5,-0.5,0.8756839632987976,0.8544747829437256,0.12084688991308212,1.1800178289413452,20000,False,,max_iters_or_stalled,
SGD_Momentum,1415,0,-1.5,2.0,0.5935505032539368,0.4955698251724243,0.6433355808258057,0.7976635694503784,20000,False,,max_iters_or_stalled,
SGD_Momentum,1415,1,1.5,-2.0,1.0197463035583496,0.9703112840652466,7.090969302225858e-05,0.03293002024292946,5715,True,5714.0,converged,
SGD_Momentum,1415,2,0.5,0.5,1.0190277099609375,0.9927362203598022,2.017696351686027e-05,0.1938599795103073,14542,True,14541.0,converged,
SGD_Momentum,1415,3,-0.5,-0.5,0.7713606953620911,0.4650340974330902,1.0817513465881348,0.8421023488044739,20000,False,,max_iters_or_stalled,
SGD_Momentum,1415,4,2.0,-1.0,0.6141996383666992,0.38897770643234253,0.5307701826095581,0.671432614326477,20000,False,,max_iters_or_stalled,
SGD_Momentum,1415,5,-2.0,1.0,1.0124337673187256,0.9735626578330994,8.017530490178615e-05,0.13061709702014923,648,True,647.0,converged,
SGD_Momentum,1415,6,0.0,0.0,0.6581769585609436,0.4000172019004822,0.7878424525260925,0.7230434417724609,20000,False,,max_iters_or_stalled,
SGD_Momentum,1415,7,1.0,1.0,1.0,1.0,0.0,0.0,1,True,0.0,converged,
SGD_Momentum,1415,8,-1.0,-1.0,0.6585903167724609,0.378669410943985,0.3108105957508087,0.6898281574249268,20000,False,,max_iters_or_stalled,
SGD_Momentum,1415,9,0.5,-0.5,0.966799259185791,0.9027968645095825,0.13423816859722137,1.2489005327224731,20000,False,,max_iters_or_stalled,
Adam,1617,0,-1.5,2.0,1.006908655166626,0.9969248175621033,3.7463755688804667e-06,0.0642925500869751,328,True,327.0,converged,
Adam,1617,1,1.5,-2.0,1.0039172172546387,1.0033038854599,8.86163252289407e-05,0.4211278557777405,238,True,237.0,converged,
Adam,1617,2,0.5,0.5,0.9931886196136475,0.9980179667472839,0.015473945997655392,1.337600588798523,20000,False,,max_iters_or_stalled,
Adam,1617,3,-0.5,-0.5,0.998576283454895,0.9846612215042114,6.38204364804551e-05,0.24776093661785126,449,True,448.0,converged,
Adam,1617,4,2.0,-1.0,0.9941033124923706,0.9806904196739197,8.167057239916176e-05,0.12504485249519348,2842,True,2841.0,converged,
Adam,1617,5,-2.0,1.0,0.9953253269195557,0.9787710905075073,7.800068124197423e-05,0.05874805524945259,361,True,360.0,converged,
Adam,1617,6,0.0,0.0,0.9910435676574707,0.986861526966095,6.162800127640367e-05,0.1057087704539299,17725,True,17724.0,converged,
Adam,1617,7,1.0,1.0,1.0,1.0,0.0,0.0,1,True,0.0,converged,
Adam,1617,8,-1.0,-1.0,0.9825416803359985,0.9808651804924011,0.006157862488180399,1.3189667463302612,20000,False,,max_iters_or_stalled,
Adam,1617,9,0.5,-0.5,0.9943503737449646,0.9816100001335144,6.70250883558765e-05,0.009011841379106045,317,True,316.0,converged,
SAM_Adam,1617,0,-1.5,2.0,0.9083508849143982,0.8234812021255493,0.008722423575818539,1.160461664199829,20000,False,,max_iters_or_stalled,
SAM_Adam,1617,1,1.5,-2.0,0.9162827134132385,0.8358484506607056,0.011822768487036228,1.1812331676483154,20000,False,,max_iters_or_stalled,
SAM_Adam,1617,2,0.5,0.5,0.9023497700691223,0.8262683153152466,0.034497011452913284,1.1661769151687622,20000,False,,max_iters_or_stalled,
SAM_Adam,1617,3,-0.5,-0.5,0.913338303565979,0.8405086994171143,0.017284002155065536,1.1823948621749878,20000,False,,max_iters_or_stalled,
SAM_Adam,1617,4,2.0,-1.0,0.8925279378890991,0.8157507181167603,0.1292017698287964,1.1455351114273071,20000,False,,max_iters_or_stalled,
SAM_Adam,1617,5,-2.0,1.0,0.9048567414283752,0.8153533339500427,0.024545788764953613,1.160339117050171,20000,False,,max_iters_or_stalled,
SAM_Adam,1617,6,0.0,0.0,0.8866660594940186,0.8420371413230896,0.27884307503700256,1.1590718030929565,20000,False,,max_iters_or_stalled,
SAM_Adam,1617,7,1.0,1.0,1.0,1.0,0.0,0.0,1,True,0.0,converged,
SAM_Adam,1617,8,-1.0,-1.0,0.9103296399116516,0.8073340654373169,0.009524887427687645,1.1499383449554443,20000,False,,max_iters_or_stalled,
SAM_Adam,1617,9,0.5,-0.5,0.9088283181190491,0.8238122463226318,0.09727723896503448,1.1693559885025024,20000,False,,max_iters_or_stalled,
SAM_SGD,1617,0,-1.5,2.0,0.7854585647583008,0.5824809670448303,0.3039582371711731,0.9121391177177429,20000,False,,max_iters_or_stalled,
SAM_SGD,1617,1,1.5,-2.0,0.7379505634307861,0.6250086426734924,0.05171332508325577,0.9329124093055725,20000,False,,max_iters_or_stalled,
SAM_SGD,1617,2,0.5,0.5,0.7365749478340149,0.6136111617088318,0.06731434911489487,0.9269845485687256,20000,False,,max_iters_or_stalled,
SAM_SGD,1617,3,-0.5,-0.5,0.7602950930595398,0.6456776857376099,0.0873548686504364,0.9652507901191711,20000,False,,max_iters_or_stalled,
SAM_SGD,1617,4,2.0,-1.0,0.7483731508255005,0.6199875473976135,0.11416757851839066,0.9407949447631836,20000,False,,max_iters_or_stalled,
SAM_SGD,1617,5,-2.0,1.0,0.7723298072814941,0.5908649563789368,0.655799388885498,0.9083503484725952,20000,False,,max_iters_or_stalled,
SAM_SGD,1617,6,0.0,0.0,0.7874526977539062,0.583259105682373,0.2834111154079437,0.913970410823822,20000,False,,max_iters_or_stalled,
SAM_SGD,1617,7,1.0,1.0,1.0,1.0,0.0,0.0,1,True,0.0,converged,
SAM_SGD,1617,8,-1.0,-1.0,0.8077174425125122,0.5910187363624573,0.1193513497710228,0.9324119687080383,20000,False,,max_iters_or_stalled,
SAM_SGD,1617,9,0.5,-0.5,0.7916858792304993,0.5869160890579224,0.26087185740470886,0.9190785884857178,20000,False,,max_iters_or_stalled,
SGD,1617,0,-1.5,2.0,0.86902916431427,0.8636298179626465,0.022134898230433464,1.1804403066635132,20000,False,,max_iters_or_stalled,
SGD,1617,1,1.5,-2.0,0.8740349411964417,0.8494855165481567,0.1313064843416214,1.1755859851837158,20000,False,,max_iters_or_stalled,
SGD,1617,2,0.5,0.5,0.8621885776519775,0.8573310375213623,0.010314838960766792,1.1697648763656616,20000,False,,max_iters_or_stalled,
SGD,1617,3,-0.5,-0.5,0.9270709156990051,0.8293924331665039,0.8264845609664917,1.1651939153671265,20000,False,,max_iters_or_stalled,
SGD,1617,4,2.0,-1.0,0.8657723665237427,0.8466327786445618,0.05633147433400154,1.167372465133667,20000,False,,max_iters_or_stalled,
SGD,1617,5,-2.0,1.0,0.9196271896362305,0.817736029624939,0.8297846913337708,1.1527286767959595,20000,False,,max_iters_or_stalled,
SGD,1617,6,0.0,0.0,0.9199706315994263,0.8294756412506104,1.0593403577804565,1.160686731338501,20000,False,,max_iters_or_stalled,
SGD,1617,7,1.0,1.0,1.0,1.0,0.0,0.0,1,True,0.0,converged,
SGD,1617,8,-1.0,-1.0,0.8664093017578125,0.8655033707618713,0.010028282180428505,1.1785527467727661,20000,False,,max_iters_or_stalled,
SGD,1617,9,0.5,-0.5,0.8756839632987976,0.8544747829437256,0.12084688991308212,1.1800178289413452,20000,False,,max_iters_or_stalled,
SGD_Momentum,1617,0,-1.5,2.0,0.5935505032539368,0.4955698251724243,0.6433355808258057,0.7976635694503784,20000,False,,max_iters_or_stalled,
SGD_Momentum,1617,1,1.5,-2.0,1.0197463035583496,0.9703112840652466,7.090969302225858e-05,0.03293002024292946,5715,True,5714.0,converged,
SGD_Momentum,1617,2,0.5,0.5,1.0190277099609375,0.9927362203598022,2.017696351686027e-05,0.1938599795103073,14542,True,14541.0,converged,
SGD_Momentum,1617,3,-0.5,-0.5,0.7713606953620911,0.4650340974330902,1.0817513465881348,0.8421023488044739,20000,False,,max_iters_or_stalled,
